세션명,작업유형,측정자,대상자,측정시간,타임스탬프
검수-000-001,물자검수팀,1,1,00:10.12,2025. 6. 14. 오후 5:33:06
검수-000-001,물자검수팀,1,1,00:10.22,2025. 6. 14. 오후 5:33:16
검수-000-001,물자검수팀,1,1,00:09.95,2025. 6. 14. 오후 5:33:28
검수-000-001,물자검수팀,1,1,00:10.09,2025. 6. 14. 오후 5:33:39
검수-000-001,물자검수팀,1,1,00:10.15,2025. 6. 14. 오후 5:33:51
검수-000-001,물자검수팀,1,2,00:10.11,2025. 6. 14. 오후 5:34:04
검수-000-001,물자검수팀,1,2,00:10.11,2025. 6. 14. 오후 5:34:15
검수-000-001,물자검수팀,1,2,00:10.06,2025. 6. 14. 오후 5:34:25
검수-000-001,물자검수팀,1,2,00:10.27,2025. 6. 14. 오후 5:34:36
검수-000-001,물자검수팀,1,2,00:10.18,2025. 6. 14. 오후 5:34:49
검수-000-001,물자검수팀,1,3,00:07.13,2025. 6. 14. 오후 5:35:00
검수-000-001,물자검수팀,1,3,00:07.15,2025. 6. 14. 오후 5:35:08
검수-000-001,물자검수팀,1,3,00:07.23,2025. 6. 14. 오후 5:35:15
검수-000-001,물자검수팀,1,3,00:07.19,2025. 6. 14. 오후 5:35:23
검수-000-001,물자검수팀,1,3,00:07.24,2025. 6. 14. 오후 5:35:32
검수-000-001,물자검수팀,1,4,00:08.22,2025. 6. 14. 오후 5:35:43
검수-000-001,물자검수팀,1,4,00:08.16,2025. 6. 14. 오후 5:35:53
검수-000-001,물자검수팀,1,4,00:08.20,2025. 6. 14. 오후 5:36:01
검수-000-001,물자검수팀,1,4,00:08.08,2025. 6. 14. 오후 5:36:10
검수-000-001,물자검수팀,1,4,00:08.19,2025. 6. 14. 오후 5:36:19
검수-000-001,물자검수팀,1,5,00:09.15,2025. 6. 14. 오후 5:36:34
검수-000-001,물자검수팀,1,5,00:09.14,2025. 6. 14. 오후 5:36:46
검수-000-001,물자검수팀,1,5,00:09.25,2025. 6. 14. 오후 5:36:56
검수-000-001,물자검수팀,1,5,00:09.06,2025. 6. 14. 오후 5:37:06
검수-000-001,물자검수팀,1,5,00:09.21,2025. 6. 14. 오후 5:37:16
검수-000-001,물자검수팀,2,1,00:10.20,2025. 6. 14. 오후 5:37:30
검수-000-001,물자검수팀,2,1,00:10.18,2025. 6. 14. 오후 5:37:42
검수-000-001,물자검수팀,2,1,00:10.09,2025. 6. 14. 오후 5:37:52
검수-000-001,물자검수팀,2,1,00:10.27,2025. 6. 14. 오후 5:38:05
검수-000-001,물자검수팀,2,1,00:10.20,2025. 6. 14. 오후 5:38:17
검수-000-001,물자검수팀,2,2,00:10.21,2025. 6. 14. 오후 5:38:34
검수-000-001,물자검수팀,2,2,00:10.25,2025. 6. 14. 오후 5:38:45
검수-000-001,물자검수팀,2,2,00:10.21,2025. 6. 14. 오후 5:38:55
검수-000-001,물자검수팀,2,2,00:10.09,2025. 6. 14. 오후 5:39:06
검수-000-001,물자검수팀,2,2,00:10.31,2025. 6. 14. 오후 5:39:19
검수-000-001,물자검수팀,2,3,00:07.32,2025. 6. 14. 오후 5:39:31
검수-000-001,물자검수팀,2,3,00:07.24,2025. 6. 14. 오후 5:39:39
검수-000-001,물자검수팀,2,3,00:07.16,2025. 6. 14. 오후 5:39:47
검수-000-001,물자검수팀,2,3,00:07.27,2025. 6. 14. 오후 5:39:56
검수-000-001,물자검수팀,2,3,00:07.26,2025. 6. 14. 오후 5:40:04
검수-000-001,물자검수팀,2,4,00:08.18,2025. 6. 14. 오후 5:40:15
검수-000-001,물자검수팀,2,4,00:08.21,2025. 6. 14. 오후 5:40:25
검수-000-001,물자검수팀,2,4,00:08.15,2025. 6. 14. 오후 5:40:34
검수-000-001,물자검수팀,2,4,00:08.18,2025. 6. 14. 오후 5:40:42
검수-000-001,물자검수팀,2,4,00:08.14,2025. 6. 14. 오후 5:40:51
검수-000-001,물자검수팀,2,5,00:09.14,2025. 6. 14. 오후 5:41:03
검수-000-001,물자검수팀,2,5,00:09.11,2025. 6. 14. 오후 5:41:14
검수-000-001,물자검수팀,2,5,00:09.19,2025. 6. 14. 오후 5:41:23
검수-000-001,물자검수팀,2,5,00:09.25,2025. 6. 14. 오후 5:41:33
검수-000-001,물자검수팀,2,5,00:09.26,2025. 6. 14. 오후 5:41:43
